"","id","measurer","measurer_name","project","project_name","date","measure_date","status","comment","datastatus","dataorigname","fieldstatus","fieldorigname","siteids","errors","processed","valid"
"96",2654,11,"fweikl",1,"HoliSoils","2025-04-17T19:54:54.262260Z","2022-08-30","submitted","incl tomst data","undetermined","WasS_22_08_30.csv","undetermined","WasS_22_09_13_ghg_field_form.xlsx","","",FALSE,TRUE
"97",2655,11,"fweikl",1,"HoliSoils","2025-04-17T19:55:13.454317Z","2022-09-13","submitted","incl tomst data","undetermined","WasS_22_09_13.csv","valid","WasS_22_09_13_ghg_field_form.xlsx","","",FALSE,TRUE
"98",2656,11,"fweikl",1,"HoliSoils","2025-04-17T19:55:40.394024Z","2022-10-07","submitted","incl tomst data","undetermined","WasS_22_10_07.csv","undetermined","WasS_22_10_07_ghg_field_forml.xlsx","","",FALSE,TRUE
"99",2657,11,"fweikl",1,"HoliSoils","2025-04-17T19:55:59.761852Z","2022-10-20","submitted","incl tomst data","undetermined","WasS_22_10_20.csv","undetermined","WasS_22_10_20_ghg_field_forml.xlsx","","",FALSE,TRUE
"100",2658,11,"fweikl",1,"HoliSoils","2025-04-17T19:57:11.333123Z","2022-11-09","submitted","incl tomst data","undetermined","WasS_22_11_09.csv","undetermined","WasS_22_11_09_ghg_field_form.xlsx","","",FALSE,TRUE
"101",2659,11,"fweikl",1,"HoliSoils","2025-04-17T19:57:29.248210Z","2022-11-28","submitted","incl tomst data","undetermined","WasS_22_11_28.csv","undetermined","WasS_22_11_28_ghg_field_forml.xlsx","","",FALSE,TRUE
"102",2625,11,"fweikl",1,"HoliSoils","2025-04-17T16:15:57.760317Z","2022-08-16","submitted","incl tomst data","undetermined","KelS_22_08_16.csv","valid","KelS_22_08_16_ghg_field.xlsx","","",FALSE,TRUE
"103",2616,11,"fweikl",1,"HoliSoils","2025-04-17T14:47:24.218989Z","2022-11-03","submitted","incl tomst data","undetermined","KelM_22_11_03.csv","valid","KelM_22_11_03_ghg_field_form_done.xlsx","","",FALSE,TRUE
"104",2660,11,"fweikl",1,"HoliSoils","2025-04-19T10:59:17.707611Z","2022-03-23","submitted","KraS incl tomst data","undetermined","KraS_22_03_23.csv","undetermined","KraS_22_03_23_ghg_field_form.xlsx","","",FALSE,TRUE
"105",2661,11,"fweikl",1,"HoliSoils","2025-04-19T10:59:40.728111Z","2022-04-12","submitted","KraS incl tomst data","undetermined","KraS_22_04_12.csv","undetermined","KraS_22_04_12_ghg_field_form.xlsx","","",FALSE,TRUE
